annual_tasks_million,service_three_year_usd,local_three_year_usd
0.0,0.0,245000.0
0.25,7500.0,245000.0
0.5,15000.0,245000.0
0.75,22500.0,245000.0
1.0,30000.0,245000.0
1.25,37500.0,245000.0
1.5,45000.0,245000.0
1.75,52500.0,245000.0
2.0,60000.0,245000.0
2.25,67500.0,245000.0
2.5,75000.0,245000.0
2.75,82500.0,245000.0
3.0,90000.0,245000.0
3.25,97500.0,245000.0
3.5,105000.0,245000.0
3.75,112500.0,245000.0
4.0,120000.0,245000.0
4.25,127500.0,245000.0
4.5,135000.0,245000.0
4.75,142500.0,245000.0
5.0,150000.0,245000.0
5.25,157500.0,245000.0
5.5,165000.0,245000.0
5.75,172500.0,245000.0
6.0,180000.0,245000.0
6.25,187500.0,245000.0
6.5,195000.0,245000.0
6.75,202500.0,245000.0
7.0,210000.0,245000.0
7.25,217500.0,245000.0
7.5,225000.0,245000.0
7.75,232500.0,245000.0
8.0,240000.0,245000.0
8.25,247500.0,245000.0
8.5,255000.0,245000.0
8.75,262500.0,245000.0
9.0,270000.0,245000.0
9.25,277500.0,245000.0
9.5,285000.0,245000.0
9.75,292500.0,245000.0
10.0,300000.0,245000.0
10.25,307500.0,245000.0
10.5,315000.0,245000.0
10.75,322500.0,245000.0
11.0,330000.0,245000.0
11.25,337500.0,245000.0
11.5,345000.0,245000.0
11.75,352500.0,245000.0
12.0,360000.0,245000.0
12.25,367500.0,245000.0
12.5,375000.0,245000.0
12.75,382500.0,245000.0
13.0,390000.0,245000.0
13.25,397500.0,245000.0
13.5,405000.0,245000.0
13.75,412500.0,245000.0
14.0,420000.0,245000.0
14.25,427500.0,245000.0
14.5,435000.0,245000.0
14.75,442500.0,245000.0
15.0,450000.0,245000.0
15.25,457500.0,245000.0
15.5,465000.0,245000.0
15.75,472500.0,245000.0
16.0,480000.0,245000.0
16.25,487500.0,245000.0
16.5,495000.0,245000.0
16.75,502500.0,245000.0
17.0,510000.0,245000.0
17.25,517500.0,245000.0
17.5,525000.0,245000.0
17.75,532500.0,245000.0
18.0,540000.0,245000.0
18.25,547500.0,245000.0
18.5,555000.0,245000.0
18.75,562500.0,245000.0
19.0,570000.0,245000.0
19.25,577500.0,245000.0
19.5,585000.0,245000.0
19.75,592500.0,245000.0
20.0,600000.0,245000.0
20.25,607500.0,245000.0
20.5,615000.0,245000.0
20.75,622500.0,245000.0
21.0,630000.0,245000.0
21.25,637500.0,245000.0
21.5,645000.0,245000.0
21.75,652500.0,245000.0
22.0,660000.0,245000.0
22.25,667500.0,245000.0
22.5,675000.0,245000.0
22.75,682500.0,245000.0
23.0,690000.0,245000.0
23.25,697500.0,245000.0
23.5,705000.0,245000.0
23.75,712500.0,245000.0
24.0,720000.0,245000.0
24.25,727500.0,245000.0
24.5,735000.0,245000.0
24.75,742500.0,245000.0
25.0,750000.0,245000.0
25.25,757500.0,245000.0
25.5,765000.0,245000.0
25.75,772500.0,245000.0
26.0,780000.0,245000.0
26.25,787500.0,245000.0
26.5,795000.0,245000.0
26.75,802500.0,245000.0
27.0,810000.0,245000.0
27.25,817500.0,245000.0
27.5,825000.0,245000.0
27.75,832500.0,245000.0
28.0,840000.0,245000.0
28.25,847500.0,245000.0
28.5,855000.0,245000.0
28.75,862500.0,245000.0
29.0,870000.0,245000.0
29.25,877500.0,245000.0
29.5,885000.0,245000.0
29.75,892500.0,245000.0
30.0,900000.0,245000.0
